method,thresholds,band_sizes,min_band_size,monotonic,prev_ratio_extreme,eta_squared,band_prevalences
percentiles,"[0.07476635277271271, 0.2406417280435562, 0.47044023871421814]","[25299, 14671, 8134, 2632]",2632,True,20.49,0.179,"[0.0267, 0.1489, 0.3402, 0.5475]"
quartiles,"[0.017834065482020378, 0.07476635277271271, 0.19664804637432098]","[10295, 15004, 11874, 13563]",10295,True,52.86,0.1569,"[0.0067, 0.0405, 0.1337, 0.3543]"
clinical,"[0.0899, 0.1414, 0.3322]","[25513, 4929, 12644, 7650]",4929,True,16.18,0.1742,"[0.0271, 0.1023, 0.1989, 0.439]"
cost_sensitive,"[0.0909, 0.2, 0.4]","[26147, 11921, 7831, 4837]",4837,True,17.25,0.1804,"[0.0286, 0.1419, 0.2859, 0.4941]"
