model,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,mcc,cv_roc_auc,fit_time_sec,subsampled
logistic_regression,0.6044,0.6136,0.7144,0.5675,0.6597,0.6325,0.6591,0.2229,0.661,8.29,False
hist_gradient_boosting,0.631,0.579,0.6489,0.8391,0.3189,0.7318,0.6579,0.1856,0.6591,37.77,False
xgboost,0.6289,0.5781,0.6488,0.8317,0.3246,0.7289,0.6573,0.1817,0.6587,40.0,False
lightgbm,0.628,0.5753,0.6464,0.8387,0.3119,0.7301,0.6558,0.1776,0.6574,46.67,False
random_forest,0.6244,0.5594,0.634,0.8848,0.234,0.7387,0.6549,0.1576,0.6573,267.38,False
extra_trees,0.6194,0.5438,0.6237,0.922,0.1656,0.7441,0.6538,0.1356,0.6551,328.92,False
mlp,0.6244,0.5821,0.6541,0.7937,0.3704,0.7172,0.653,0.1807,0.6555,77.21,False
svm,0.6123,0.5254,0.613,0.96,0.0907,0.7482,0.6328,0.1044,0.636,244.11,True
knn,0.6003,0.5441,0.6268,0.8251,0.2631,0.7124,0.5845,0.1061,0.5872,6.31,True
